GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Acido Fólico (µg),Calcio (mg),Hierro (mg),sodio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
CEREALES SIN GRASA,Alegría natural,5,cucharadita,21,21,74,2.7,1.5,13.5,1.4,0.0,0.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Alegría tostada,4,cucharadita,16,16,63,2.2,1.3,11.7,1.6,0.0,47.9,0.3,0.0,ND,ND,ND
CEREALES SIN GRASA,Amaranto cocido,2 1/2,taza,330,330,70,7.0,0.5,13.5,0.0,185.0,690.0,7.5,70.0,ND,ND,ND
CEREALES SIN GRASA,Amaranto tostado,1/4,taza,16,16,63,2.2,1.3,11.6,1.6,0.0,47.5,0.3,0.0,ND,ND,ND
CEREALES SIN GRASA,Anillos de trigo azucarados de colores,1/2,taza,16,16,63,1.0,0.6,13.4,0.2,0.0,1.5,2.3,53.5,ND,ND,ND
CEREALES SIN GRASA,Arroz cocido,1/4,taza,47,47,60,1.1,0.1,13.3,0.1,26.0,1.4,0.7,0.0,ND,64.0,29.8
CEREALES SIN GRASA,Arroz crudo,20,g,20,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND,ND,ND
CEREALES SIN GRASA,Arroz inflado con cocoa,1/2,taza,17,17,64,0.9,0.2,14.7,0.1,58.2,3.0,1.0,126.2,ND,82.0,ND
CEREALES SIN GRASA,Arroz inflado natural,1/2,taza,17,17,65,1.1,0.1,14.6,0.5,58.2,3.0,1.0,126.2,ND,ND,ND
CEREALES SIN GRASA,Arroz integral cocido,1/3,taza,65,65,73,1.5,0.5,15.3,1.2,2.6,6.7,0.3,0.7,ND,66.0,42.9
CEREALES SIN GRASA,Arroz integral crudo,20,g,20,20,72,0.5,0.5,15.2,0.7,4.0,6.6,0.4,0.8,ND,ND,ND
CEREALES SIN GRASA,Arroz precocido cocido,1/3,taza,52,52,64,1.5,0.2,13.6,0.5,1.6,9.9,0.1,1.0,0.1,48.0,25.0
CEREALES SIN GRASA,Arroz precocido crudo,20,g,20,20,75,1.6,0.2,16.1,0.4,1.6,11.0,0.1,0.6,0.1,ND,ND
CEREALES SIN GRASA,Arroz pulido crudo,20,g,20,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND,ND,ND
CEREALES SIN GRASA,Arroz salvaje cocido,1/3,taza,54,54,55,2.1,0.2,11.6,1.0,14.1,1.7,0.3,1.7,0.4,54.0,29.2
CEREALES SIN GRASA,Arroz salvaje crudo,20,g,20,20,71,2.9,0.2,15.0,1.2,19.0,4.2,0.4,1.4,0.5,ND,ND
CEREALES SIN GRASA,Atole en polvo,7,cucharadita,18,18,68,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,ND,74.0,13.5
CEREALES SIN GRASA,Atole en sobre,1/3,sobre,16,16,58,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,ND,51.0,7.9
CEREALES SIN GRASA,Atole vitaminado,1/3,sobre,16,16,59,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,ND,51.0,8.0
CEREALES SIN GRASA,Avena cocida,3/4,taza,164,164,66,5.2,1.3,18.8,4.3,10.5,16.4,1.4,1.5,ND,50.0,82.1
CEREALES SIN GRASA,Avena con canela y especias,1/3,sobre,15,15,56,1.3,0.7,11.7,1.0,29.0,36.3,1.3,81.2,5.1,65.0,9.9
CEREALES SIN GRASA,Avena con manzana y canela,1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,27.1,33.9,1.2,75.9,4.8,65.0,9.2
CEREALES SIN GRASA,Avena con pasitas y especias,1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,27.1,33.9,1.2,75.9,4.8,65.0,9.2
CEREALES SIN GRASA,Avena en hojuelas,1/2,taza,20,20,73,3.2,1.3,13.4,2,0.0,10.4,0.8,0.8,0.2,65,13
CEREALES SIN GRASA,Avena instantánea PLUS varios sabores,1/3,sobre,14,14,53,1.3,1.0,9.8,1.2,0.0,0.0,0.0,38.7,3.0,ND,ND
CEREALES SIN GRASA,Avena instantánea preparada,1/3,taza,77,77,53,1.8,1.1,9.0,1.3,54.8,61.8,4.6,37.8,0.4,65.0,50.2
CEREALES SIN GRASA,Avena instantánea varios sabores,1/3,sobre,14,14,51,1.0,1.0,9.4,0.8,0.0,0.0,0.0,88.9,4.3,ND,ND
CEREALES SIN GRASA,Avena integral,1/3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND,ND,ND
CEREALES SIN GRASA,Avena integral con pasitas! instantánea preparada,1/2,sobre,22,22,77,1.7,0.9,16.4,1.3,44.1,55.0,2.0,120.8,7.8,ND,ND
CEREALES SIN GRASA,Avena Quaker Old fashion,1/2,pieza,20,20,68,2.8,1.1,11.8,1.9,0.0,0.0,0.0,0.0,0.3,ND,ND
CEREALES SIN GRASA,Bagel,1/3,pieza,24,24,65,2.5,0.4,12.6,0.5,5.3,17.7,0.8,126.3,ND,72.0,17.0
CEREALES SIN GRASA,Bagel de ajo,1/3,pieza,24,24,67,2.5,0.4,12.9,0.6,5.5,18.1,0.9,129.4,ND,ND,ND
CEREALES SIN GRASA,Bagel de ajonjolí,1/3,pieza,24,24,74,2.7,0.7,12.9,0.6,5.3,0.0,0.0,145.6,ND,ND,ND
CEREALES SIN GRASA,Bagel de avena,1/3,pieza,24,24,60,2.5,0.3,12.6,0.9,11.0,3.0,0.7,120.0,ND,ND,ND
CEREALES SIN GRASA,Bagel de canela y pasas,1/3,pieza,24,24,65,2.3,0.4,13.1,0.5,5.0,4.3,0.9,76.3,ND,ND,ND
CEREALES SIN GRASA,Bagel de cebolla,1/3,pieza,24,24,74,2.7,0.7,12.9,0.6,11.0,0.0,0.0,145.6,ND,ND,ND
CEREALES SIN GRASA,Bagel integral,1/3,pieza,24,24,60,2.5,0.3,12.6,0.9,5.3,0.0,0.0,120.0,ND,ND,ND
CEREALES SIN GRASA,Baguette,1/7,pieza,27,27,72,2.2,1.0,13.4,0.6,9.7,29.2,0.8,145.8,1.0,95.0,25.7
CEREALES SIN GRASA,Barquillo,1 1/2,pieza,15,15,64,1.1,1.1,12.0,0.4,0.0,3.8,0.5,22.5,ND,ND,ND
CEREALES SIN GRASA,Barra Special K varios sabores,1,pieza,24,24,90,2.0,1.0,19.0,ND,ND,ND,ND,104.9,ND,ND,ND
CEREALES SIN GRASA,Barra Stila varios sabores,3/4,pieza,19,19,68,1.6,1.3,12.4,1.5,0.0,0.0,0.0,71.3,5.3,ND,ND
CEREALES SIN GRASA,Barrita de avena,1/2,pieza,14,14,56,0.8,1.1,11.1,0.5,2.0,4.5,0.3,52.5,4.8,ND,ND
CEREALES SIN GRASA,Barrita de granola sabor manzana,1/2,pieza,14,14,55,0.8,1.0,11.3,0.7,2.0,4.5,0.3,39.5,5.1,ND,ND
CEREALES SIN GRASA,Birote,1/3,pieza,22,22,67,2.1,0.0,14.1,0.1,0.0,9.1,0.3,123.3,ND,ND,ND
CEREALES SIN GRASA,Bolillo,1/3,pieza,20,20,61,1.9,0.0,12.8,0.1,0.0,8.3,0.2,112.7,ND,ND,ND
CEREALES SIN GRASA,Bolillo integral,1/3,pieza,20,20,64,2.1,0.1,13.4,0.2,0.0,12.3,0.6,68.5,ND,ND,ND
CEREALES SIN GRASA,Bolillo integral sin migajón,1/3,pieza,20,20,64,2.1,0.1,13.4,0.2,0.0,12.3,0.6,68.5,ND,ND,ND
CEREALES SIN GRASA,Bolillo sin migajón,1/3,pieza,20,20,61,1.9,0.0,12.8,0.1,0.0,8.3,0.2,112.7,ND,ND,ND
CEREALES SIN GRASA,Bollo de hamburguesa,1/3,pieza,25,25,65,2.4,1.1,12.5,0.6,0.0,25.7,0.7,108.2,1.8,ND,ND
CEREALES SIN GRASA,Bollos para hamburguesa,1/3,pieza,25,25,65,2.4,1.1,12.5,0.6,0.0,25.7,0.7,108.2,1.8,ND,ND
CEREALES SIN GRASA,burbujas de maíz azucaradas,1/2,taza,16,16,59,0.7,0.1,14.0,0.2,50.0,2.0,0.9,59.5,7.0,80.0,12.4
CEREALES SIN GRASA,Camote al honor,1/3,taza,70,70,70,1.2,0.1,16.4,1.3,15.9,24.7,0.4,5.6,ND,ND,ND
CEREALES SIN GRASA,Camote amarillo,1/3,taza,69,54,68,0.8,0.4,15.3,1.6,7.6,23.2,1.3,5.4,ND,ND,ND
CEREALES SIN GRASA,Camote cocido,1/3,taza,69,69,73,1.1,0.2,16.8,1.3,7.6,14.4,0.4,8.9,ND,ND,ND
CEREALES SIN GRASA,Camote con miel,1/3,taza,59,59,59,0.3,0.0,14.4,1.2,0.0,4.3,0.2,7.6,ND,ND,ND
CEREALES SIN GRASA,Camote con naranja,1/5,taza,40,40,61,0.2,0.0,15.2,0.0,0.0,3.3,0.1,4.2,ND,ND,ND
CEREALES SIN GRASA,Camote en dulce,1/5,taza,52,52,71,0.4,1.7,14.5,1.2,5.9,13.4,0.6,36.6,ND,ND,ND
CEREALES SIN GRASA,Camote largo,1/4,pieza,75,59,73,0.8,0.5,16.6,1.7,8.2,25.2,1.4,5.9,ND,ND,ND
CEREALES SIN GRASA,Camote poblano (dulce),3/4,pieza,45,45,62,0.4,1.5,12.6,1.1,5.1,11.6,0.5,31.7,ND,ND,ND
CEREALES SIN GRASA,Canelones,4,pieza,20,20,68,1.9,0.1,14.6,0.4,5.0,5.2,0.4,0.4,ND,ND,ND
CEREALES SIN GRASA,Cáscara de papa cruda,2 1/2,taza,125,125,73,3.2,0.1,15.6,3.1,21.3,37.5,4.1,12.5,ND,ND,ND
CEREALES SIN GRASA,Cebada,20,g,20,20,69,2.2,0.5,15.3,2.1,4.6,5.4,0.4,1.3,0.1,ND,ND
CEREALES SIN GRASA,Cebada perla cocida,1/3,taza,52,52,64,1.2,0.2,14.8,2.0,8.3,5.7,0.7,1.7,ND,25.0,13.1
CEREALES SIN GRASA,Centeno,5,cucharadita,22,22,72,2.6,0.4,15.9,0.4,0.0,8.2,0.8,0.0,ND,41.0,8.9
CEREALES SIN GRASA,Cereal Avena Flakes,3/4,taza,19,19,68,1.9,1.1,12.6,1.9,0.0,0.0,0.0,53.1,2.8,ND,ND
CEREALES SIN GRASA,Cereal Chewy para niños varios sabores,1/2,pieza,14,14,52,0.9,0.7,10.5,1.2,0.0,0.0,0.0,46.7,3.3,ND,ND
CEREALES SIN GRASA,Cereal con almendras y pasas,1/3,taza,19,19,70,1.5,0.7,16.5,1.6,33.3,9.3,2.1,100.0,4.0,ND,ND
CEREALES SIN GRASA,Cereal de arroz,1/2,taza,17,17,67,1.4,0.5,14.1,1.1,2.5,9.1,7.9,2.0,0.2,ND,ND
CEREALES SIN GRASA,Cereal de arroz inflado con chocolate,1/2,taza,16,16,62,1.1,0.6,13.8,1.2,3.0,4.5,0.2,1.9,1.5,82.0,13.1
CEREALES SIN GRASA,Cereal con avena con maple,1/3,taza,27,27,65,4.6,1.9,17.6,4.1,13.8,15.5,1.4,0.9,ND,ND,ND
CEREALES SIN GRASA,Cereal de avena integral! seco,1/3,taza,19,19,71,2.9,1.0,13.8,2.2,34.7,10.3,5.4,68.3,3.1,ND,ND
CEREALES SIN GRASA,Cereal de galleta de chispa de chocolate,1/2,taza,15,15,60,0.5,0.8,13.0,0.6,0.0,50.0,2.3,85.0,ND,ND,ND
CEREALES SIN GRASA,Cereal de maíz reventado  con azúcar,1/2,taza,16,16,59,0.5,0.5,13.6,0.6,0.0,25.8,9.9,620.0,ND,ND,ND
CEREALES SIN GRASA,Cereales de maíz reventado sabor chocolate y crema de cacahucate,1/3,taza,14,14,61,0.9,1.6,10.6,0.6,0.0,46.7,2.3,93.3,ND,ND,ND
CEREALES SIN GRASA,Cereal de salvado de trigo,1/3,taza,21,21,54,2.6,0.7,15.3,6.7,66.7,66.7,3.0,189.3,4.0,42.0,8.7
CEREALES SIN GRASA,Cereal de trigo con canela,1/3,taza,13,13,58,0.4,1.6,10.7,0.4,44.4,17.8,2.0,93.3,4.4,ND,ND
CEREALES SIN GRASA,Cereal de trigo sabor frutas,1/2,taza,15,15,60,0.5,0.8,13.0,0.0,50.0,10.0,2.1,100.0,6.5,69.0,10.4
CEREALES SIN GRASA,Cereal integral con pasitas,1/3,taza,20,20,66,2.0,0.5,15.7,2.7,33.3,11.7,1.5,130.0,6.0,42.0,8.5
CEREALES SIN GRASA,Cereal Multibran Flakes,3/4,taza,19,19,65,2.4,1.3,11.1,2.6,0.0,0.0,0.0,90.6,0.4,ND,ND
CEREALES SIN GRASA,Cereal Multibran pasas,3/4,taza,19,19,66,2.0,1.0,12.1,2.3,0.0,0.0,0.0,71.9,3.9,ND,ND
CEREALES SIN GRASA,Cereal multigrano,1/4,taza,20,20,67,2.3,0.5,14.7,2.4,5.5,7.0,0.6,0.5,0.1,ND,ND
CEREALES SIN GRASA,Cereal sin azúcar,1/2,taza,14,14,51,1.2,0.1,12.0,0.6,50.0,0.5,4.1,152.0,1.0,ND,ND
CEREALES SIN GRASA,Codito crudo,20,g,20,20,74,2.5,0.2,15.0,0.1,5.0,5.4,0.3,0.4,ND,ND,ND
CEREALES SIN GRASA,Coditos con crema deshidratados,1 1/2,cucharada,15,15,61,1.9,1.5,9.6,0.0,0.0,0.0,0.2,122.9,ND,ND,ND
CEREALES SIN GRASA,Couscous,1/3,taza,52,52,58,2.0,0.1,12.0,0.7,ND,4.3,0.2,2.6,0.1,ND,ND
CEREALES SIN GRASA,Crepa,2,pieza,30,30,69,1.6,1.0,13.1,0.5,0.2,0.3,0.3,147.5,ND,ND,ND
CEREALES SIN GRASA,Crepas para rellenar,2,pieza,30,30,69,2.3,1.4,11.6,0.3,0.2,0.3,0.3,116.4,ND,ND,ND
CEREALES SIN GRASA,Crepas saladas,2,pieza,30,30,69,1.6,1.0,13.1,0.5,0.2,0.3,0.3,147.5,ND,ND,ND
CEREALES SIN GRASA,Croutones,1/2,taza,15,15,61,1.8,1.0,11.1,0.8,3.5,11.5,0.6,104.5,ND,ND,ND
CEREALES SIN GRASA,Cuadritos de avena,1/3,taza,19,19,71,2.9,1.0,13.8,2.2,34.7,10.3,5.4,68.3,3.1,ND,ND
CEREALES SIN GRASA,Cuadritos de avena con salvado,1/3,taza,19,19,71,2.9,1.0,13.8,2.2,34.7,10.3,5.4,68.3,3.1,ND,ND
CEREALES SIN GRASA,Cúrcuma,160,g,160,138,73,5.6,0.0,13.2,1.7,0.0,70.2,16.8,0.0,ND,ND,ND
CEREALES SIN GRASA,Elote amarillo cocido,1 1/2,pieza,174,66,71,2.2,0.8,16.6,1.9,30.4,1.6,0.3,0.0,2.7,53.0,35.0
CEREALES SIN GRASA,Elote amarillo congelado,1 1/2,pieza,188,71,70,2.3,0.6,16.7,2.0,27.9,2.9,0.5,2.3,ND,47.0,33.5
CEREALES SIN GRASA,Elote amarillo crudo,1 1/3,pieza,186,71,61,2.3,0.9,17.7,2.0,32.7,1.7,0.4,12.1,ND,ND,ND
CEREALES SIN GRASA,Elote amarillo desgranado cocido,1/2,taza,83,83,66,2.3,0.4,16.2,2.0,38.5,3.3,0.3,4.2,2.6,ND,ND
CEREALES SIN GRASA,Elote amarillo desgranado crudo,1/2,taza,83,83,66,2.3,0.4,16.2,2.0,38.5,3.3,0.3,4.2,2.6,ND,ND
CEREALES SIN GRASA,Elote amarillo enlatado,1/2,taza,82,82,66,2.1,0.8,15.2,1.6,40.0,4.0,0.7,175.0,2.3,ND,ND
CEREALES SIN GRASA,Elote blanco cocido,1 1/2,pieza,215,82,70,2.6,1.0,15.5,2.2,37.5,1.6,0.4,12.2,2.6,59.0,48.1
CEREALES SIN GRASA,elote blanco desgranado,1/2,taza,83,83,66,2.3,0.4,16.2,2.0,38.5,3.3,0.3,4.2,2.6,ND,ND
CEREALES SIN GRASA,Elote crudo,1 1/2,pieza,215,82,70,2.6,1.0,15.5,2.2,37.5,1.6,0.4,12.2,2.6,ND,ND
CEREALES SIN GRASA,Elote desgranado,1/2,taza,83,83,66,2.3,0.4,16.2,2.0,38.5,3.3,0.3,4.2,2.6,ND,ND
CEREALES SIN GRASA,Elote enlatado,1/2,taza,82,82,66,2.1,0.8,15.2,1.6,40.0,4.0,0.7,175.0,2.3,46.0,37.7
CEREALES SIN GRASA,English miffin,1/2,pieza,29,29,67,2.2,0.5,13.1,0.8,10.5,49.5,0.7,132.0,ND,77.0,21.9
CEREALES SIN GRASA,Espagueti cocido,1/3,taza,46,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,1.4,0.4,44.0,20.3
CEREALES SIN GRASA,Espagueti con espinacas cocido,1/3,taza,47,47,61,2.1,0.3,12.2,0.0,5.7,14.0,0.5,6.7,ND,ND,ND
CEREALES SIN GRASA,Espagueti crudo,20,g,20,20,70,2.9,0.3,15.0,0.1,11.4,8.0,0.7,1.6,ND,ND,ND
CEREALES SIN GRASA,Espagueto integral cocido,1/3,taza,46,46,57,2.5,0.3,12.3,2.1,2.3,6.9,0.5,1.3,ND,ND,ND
CEREALES SIN GRASA,Espagueti integral crudo,20,g,20,20,70,2.9,0.3,15.0,0.1,11.4,8.0,0.7,1.6,ND,ND,ND
CEREALES SIN GRASA,Espaguetti cocido,1/3,taza,47,47,58,2.5,0.3,12.4,2.1,2.3,7.0,0.5,1.4,0.4,44.0,20.5
CEREALES SIN GRASA,Espaguetti con espinacas cocido,1/3,taza,47,47,61,2.1,0.3,12.2,0.0,5.7,14.0,0.5,6.7,ND,ND,ND
